GaiaDR3,label,stability,Dist,X,Y,Z,VtRA,VtDE,VtRALSR,VtDELSR,RV,Simbad,Region,Group,Bstar,RAdeg,DEdeg,e_RAdeg,e_DEdeg,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,RUWE,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,BP-RP,BP-G,G-RP,RV_DR3,e_RV,n_RV,o_RV,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000
3459372646830687104,21,13.3,64.6731,24.0949,-54.656,24.7942,-19.63,-7.259,-3.095,-0.911,11.532,Simbad,"LCC","sigma Cen","* sig Cen",181.88907901539,-39.54844318931,0.079,0.0646,15.4624,0.1163,-64.04,0.087,-23.678,0.072,1.068,534,2087.94172,3.50044,596.479,17.388071,0.003302,58,119.817,7.82895,15.3044,20.142246,0.070998,61,3553.34,14.053,252.852,15.871304,0.00572,4.270943,2.754175,1.516768,,,,,181.88944813535,-39.54833795144,1.429494,1.163172
3459442092158725760,21,25.5,124.95,45.8469,-105.65,48.4526,-17.97,-7.174,-1.419,-0.865,11.562,Simbad,"LCC","sigma Cen","* sig Cen",181.56496258595,-39.22291893894,0.0482,0.0377,8.0032,0.0749,-30.331,0.052,-12.111,0.042,0.991,574,2978.52749,2.24893,1324.42,17.002363,0.002875,59,332.901,7.30527,45.57,19.032755,0.023988,55,4260.31,9.19319,463.419,15.674294,0.004447,3.358461,2.030392,1.32807,,,,,181.56513659454,-39.22286511266,0.857803,0.680672
3459492631038236416,21,9.8,65.6421,24.3025,-55.277,25.743,-19.78,-7.615,-3.246,-1.223,11.433,Simbad,"LCC","sigma Cen","* sig Cen",181.95110817397,-39.00135447856,0.6168,0.5061,15.2341,0.9558,-63.577,0.662,-24.471,0.688,1.055,433,111.71646,0.596045,187.43,20.567074,0.006415,28,28.7727,5.32349,5.40486,21.691092,0.200901,50,201.593,7.21911,27.9248,18.98671,0.039064,2.704382,1.124018,1.580364,,,,,181.95147177512,-39.0012457185,10.927693,11.105168
3459725624422311424,21,7.8,82.1535,29.181,-69.412,32.8575,-19.57,-7.27,-3.007,-1.013,11.57,Simbad,"LCC","sigma Cen","* sig Cen",180.99576463712,-38.36128317935,0.106,0.0901,12.1723,0.1779,-50.239,0.126,-18.668,0.097,0.939,574,1090.26652,1.48531,734.033,18.093534,0.003127,42,50.987,5.21029,9.78582,21.069895,0.110985,60,1918.02,9.74129,196.896,16.54076,0.006685,4.529135,2.97636,1.552774,,,,,180.99604939703,-38.36120021017,2.075782,1.555537
3460673098504625024,21,3.6,123.401,41.9837,-104.06,51.3561,-18.74,-8.151,-2.17,-1.942,11.56,Simbad,"LCC","sigma Cen","* sig Cen",180.32366960311,-37.20920425231,0.0326,0.0271,8.1037,0.0475,-32.037,0.05,-13.934,0.035,0.977,387,7096.17841,7.61138,932.311,16.059805,0.002991,45,862.996,11.1197,77.6099,17.99852,0.014265,44,10068.3,27.3209,368.522,14.7405,0.004792,3.258019,1.938715,1.319304,,,,,180.32384838573,-37.20914232336,0.795608,0.552885
3462717606017381120,21,2.9,122.811,44.4319,-100.16,55.4724,-17.97,-8.284,-1.463,-1.515,10.573,Simbad,"LCC","sigma Cen","* sig Cen",183.00020515138,-35.32880415362,0.0385,0.0257,8.1426,0.054,-30.869,0.059,-14.229,0.033,1.095,458,6523.49228,4.62839,1409.45,16.151167,0.002861,51,850.645,8.20676,103.652,18.014172,0.01084,54,9018.85,16.7133,539.62,14.860017,0.004282,3.154155,1.863005,1.29115,,,,,183.00037331356,-35.32874091431,0.950016,0.52089
3462775399097286272,21,2.2,127.779,45.9677,-103.53,59.1271,-18.27,-8.33,-1.762,-1.502,10.41,Simbad,"LCC","sigma Cen","* sig Cen",183.16701712839,-34.63056998584,0.021,0.0145,7.826,0.0288,-30.154,0.031,-13.752,0.019,1.134,459,18346.9481,31.8801,575.498,15.028458,0.003339,50,2968.97,32.2794,91.977,16.657028,0.01213,51,24119.4,107.314,224.756,13.791979,0.006133,2.865049,1.628571,1.236479,,,,,183.16718000391,-34.63050886533,0.498018,0.29643
3463395523652894336,21,7.2,76.488,23.1637,-66.085,30.7675,-19.22,-6.646,-2.622,-1.022,12.399,Simbad,"LCC","sigma Cen","* sig Cen",177.10063121124,-37.48039098518,0.0105,0.0083,13.0739,0.0139,-53.007,0.014,-18.33,0.01,1.043,400,1098873.30761,2430.37,452.143,10.584998,0.003655,46,393792.0,3426.04,114.941,11.350376,0.00985,45,1017830.0,5887.13,172.891,9.728705,0.007329,1.621671,0.765378,0.856293,,,,,177.10092808621,-37.48030951959,0.234117,0.155655
3465989374664029184,21,11.0,62.575,20.0882,-51.305,29.6631,-19.65,-6.938,-3.084,-0.459,10.87,Simbad,"LCC","sigma Cen","* sig Cen",180.65794581549,-33.4779542266,0.0188,0.0145,15.9808,0.0285,-66.238,0.028,-23.388,0.017,1.193,389,47253.54159,47.4612,995.625,14.001281,0.002963,46,5725.55,26.4301,216.63,15.943998,0.005736,46,66624.6,137.472,484.642,12.688808,0.004393,3.25519,1.942718,1.312472,6.03,1.85,2,22,180.65829876285,-33.47785028038,0.4465,0.276411
3466308095597260032,21,11.8,56.8189,18.8623,-45.881,27.7047,-19.83,-7.157,-3.29,-0.453,10.432,Simbad,"LCC","sigma Cen","* sig Cen",181.86367912355,-32.78351891317,0.0599,0.0439,17.5998,0.0891,-73.619,0.089,-26.573,0.05,4.327,586,494209.12584,253.891,1946.54,11.45259,0.002811,69,96215.0,142.865,673.469,12.880436,0.003222,69,618257.0,487.514,1268.18,10.269973,0.003875,2.610463,1.427846,1.182617,8.17,0.61,1,35,181.86406830729,-32.78340081188,1.41769,0.780514
