# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Mon Nov 21 17:57:42 CET 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.027842 0.30000 6.00000 0.0981585458 1.1555373647    0.098 -1.284  3.4289  3.381    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.3e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.980 9.926 12.165 8.517
0.027842 0.30000 6.00000 0.0997734070 1.1692108004    0.100 -1.269  3.4299  3.377    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.44e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.942 9.876 12.102 8.469
0.027842 0.30000 6.00000 0.1080349311 1.2349219932    0.108 -1.191  3.4351  3.353    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.26e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.747 9.632 11.811 8.236
0.027842 0.30000 6.00000 0.1223428324 1.3345630233    0.122 -1.085  3.4430  3.332    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.481 9.298 11.409 7.917
0.027842 0.30000 6.00000 0.1277877092 1.3685781916    0.127 -1.048  3.4456  3.326    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.91e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.391 9.185 11.276 7.810
0.027842 0.30000 6.00000 0.1377721131 1.4263101003    0.137 -0.983  3.4508  3.314    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.84e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.228 8.981 11.030 7.615
0.027842 0.30000 6.00000 0.1488730758 1.4844315093    0.148 -0.916  3.4561  3.302    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.94e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 7.059 8.775 10.785 7.419
0.027842 0.30000 6.00000 0.1588402539 1.5320096997    0.158 -0.872  3.4605  3.304    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.55e-14      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.951 8.635 10.613 7.287
0.027842 0.30000 6.00000 0.1690061986 1.5766968869    0.168 -0.823  3.4651  3.300    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.827 8.486 10.440 7.145
0.027842 0.30000 6.00000 0.1758218855 1.6047453778    0.175 -0.803  3.4676  3.307    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-13      0.00 6.732e-01 2.987e-01 5.063e-03 1.366e-03 1.239e-02 -1.000 2.816e-02 6.777 8.419 10.357 7.082
